index,benchmark,outer_selects,outer_updates,fallback_selects,fallback_updates,fallback_arms,fallback_limits,reward_sum,nonzero_reward_updates,mab_lines
116,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Ridecore_SRAI_problem.btor2,0,0,0,0,,,0,0,
117,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_ADD_sanity.btor2,0,0,0,0,,,0,0,
118,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_ANDI_sanity.btor2,0,0,0,0,,,0,0,
119,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_AND_problem.btor2,0,0,0,0,,,0,0,
120,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_AND_sanity.btor2,0,0,0,0,,,0,0,
121,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_BLTU_problem.btor2,0,0,0,0,,,0,0,
122,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_BNE_problem.btor2,0,0,0,0,,,0,0,
123,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_JAL_sanity.btor2,0,0,0,0,,,0,0,
124,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_LUI_sanity.btor2,0,0,0,0,,,0,0,
125,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_LW_sanity.btor2,0,0,0,0,,,0,0,
126,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_ORI_sanity.btor2,0,0,0,0,,,0,0,
127,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_SLLI_problem.btor2,0,0,0,0,,,0,0,
128,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_SLL_sanity.btor2,0,0,0,0,,,0,0,
129,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Rocket_SLTIU_problem.btor2,0,0,0,0,,,0,0,
130,benchmarks/wordlevel/array/2024/sosylab/array-examples/standard_compareModified_ground.btor2,0,0,0,0,,,0,0,
131,benchmarks/wordlevel/array/2024/sosylab/array-examples/standard_compare_ground.btor2,0,0,0,0,,,0,0,
132,benchmarks/wordlevel/array/2024/sosylab/array-examples/standard_partition_ground-1.btor2,0,0,0,0,,,0,0,
133,benchmarks/wordlevel/array/2024/sosylab/array-fpi/brs2.btor2,0,0,0,0,,,0,0,
134,benchmarks/wordlevel/array/2024/sosylab/array-fpi/brs2f.btor2,0,0,0,0,,,0,0,
135,benchmarks/wordlevel/array/2024/sosylab/array-fpi/brs3f.btor2,0,0,0,0,,,0,0,
136,benchmarks/wordlevel/array/2024/sosylab/array-fpi/condaf.btor2,0,0,0,0,,,0,0,
137,benchmarks/wordlevel/array/2024/sosylab/array-fpi/ifcompf.btor2,0,0,0,0,,,0,0,
138,benchmarks/wordlevel/array/2024/sosylab/array-fpi/ifeqn2f.btor2,0,0,0,0,,,0,0,
139,benchmarks/wordlevel/array/2024/sosylab/array-fpi/ifeqn5.btor2,0,0,0,0,,,0,0,
140,benchmarks/wordlevel/array/2024/sosylab/array-fpi/s12if.btor2,0,0,0,0,,,0,0,
141,benchmarks/wordlevel/array/2024/sosylab/array-fpi/s2iff.btor2,0,0,0,0,,,0,0,
142,benchmarks/wordlevel/array/2024/sosylab/array-fpi/s3if.btor2,0,0,0,0,,,0,0,
143,benchmarks/wordlevel/array/2024/sosylab/array-fpi/s4liff.btor2,0,0,0,0,,,0,0,
144,benchmarks/wordlevel/array/2024/sosylab/array-industry-pattern/array_assert_loop_dep.btor2,0,0,0,0,,,0,0,
145,benchmarks/wordlevel/array/2024/sosylab/array-industry-pattern/array_monotonic.btor2,0,0,0,0,,,0,0,
146,benchmarks/wordlevel/array/2024/sosylab/array-industry-pattern/array_of_struct_ptr_mul_init.btor2,0,0,0,0,,,0,0,
